答案1: 21
答案1685: 6
答案1686: 8
答案1687: 5
答案1688: 17
答案1689: 8
答案1690: 3
答案1691: 3/8
答案1692: 7
答案1693: 2/45
答案1694: 9
答案1695: 18
答案1696: 8/21
答案1697: 4/7
答案1698: 8/35
答案1699: 2/7
答案1700: 5/48
答案1701: 8/49
答案1702: 7/960
答案1703: 8/63
答案1704: 1/7
答案1705: 11
答案1706: 1/24
答案1707: 1/12
答案1708: 9/28
答案1709: 4
答案1710: 2/5
答案1711: 15
答案1712: 39
答案1713: 7/8
答案1714: 32
答案1715: 19
答案1716: 1/48
答案1717: 2/3
答案1718: 8
答案1719: 7
答案1720: 6
答案1721: 10/21
答案1722: 5
答案1723: 11
答案1724: 10
答案1725: 9
答案1726: 1/15
答案1727: 14
答案1728: 13
答案1729: 2/3
答案1730: 19
答案1731: 15
答案1732: 4/15
答案1733: 1/5
答案1734: 13
答案1735: 2/15
答案1736: 1/168
答案1737: 6
答案1738: 18
答案1739: 4/5
答案1740: 2/5
答案1741: 9/16
答案1742: 1/7
答案1743: 14
答案1744: 1/16
答案1745: 3/14
答案1746: 1/10
答案1747: 4
答案1748: 3
答案1749: 16
答案1750: 10
答案1751: 15/34
答案1752: 8
答案1753: 1/7
答案1754: 7
答案1755: 8
答案1756: 12
答案1757: 5/8
答案1758: 4
答案1759: 2/175
答案1760: 2/5
答案1761: 22
答案1762: 3/7
答案1763: 8
答案1764: 12/23
答案1765: 7
答案1766: 1/6
答案1767: 10
答案1768: 7/54
答案1769: 3/185
答案1770: 12
答案1771: 7/150
答案1772: 2/9
答案1773: 24
答案1774: 12
答案1775: 1/9
答案1776: 1/27
答案1777: 10
答案1778: 1/84
答案1779: 1/96
答案1780: 8/19
答案1781: 1/48
答案1782: 1/2
答案1783: 11/30
答案1784: 60
答案1785: 6
答案1786: 3/56
答案1787: 7/80
答案1788: 17
答案1789: 3
答案1790: 4
答案1791: 4
答案1792: 5
答案1793: 3
答案1794: 15
答案1795: 1/60
答案1796: 4
答案1797: 5
答案1798: 11
答案1799: 12
答案1800: 4/5
答案1801: 13
答案1802: 25/56
答案1803: 11
答案1804: 8/15
答案1805: 1/40
答案1806: 4/35
答案1807: 6
答案1808: 2
答案1809: 8
答案1810: 17
答案1811: 3/64
答案1812: 2
答案1813: 5/27
答案1814: 1
答案1815: 7/18
答案1816: 7/9
答案1817: 5
答案1818: 2
答案1819: 2/5
答案1820: 1
答案1821: 5/144
答案1822: 5/108
答案1823: 6
答案1824: 8/21
答案1825: 5/36
答案1826: 5/18
答案1827: 5/36
答案1828: 18
答案1829: 11/48
答案1830: 11/12
答案1831: 7
答案1832: 12
答案1833: 2
答案1834: 2
答案1835: 8
答案1836: 6
答案1837: 5
答案1838: 4
答案1839: 3
答案1840: 10
答案1841: 9
答案1842: 8
答案1843: 7
答案1844: 4
答案1845: 9/16
答案1846: 11
答案1847: 5/7
答案1848: 10
答案1849: 1/144
答案1850: 6/7
答案1851: 2
答案1852: 3
答案1853: 5
答案1854: 3
答案1855: 8
答案1856: 7/648
答案1857: 3
答案1858: 15
答案1859: 40
答案1860: 20/49
答案1861: 8/147
答案1862: 3
答案1863: 1
答案1864: 2
答案1865: 2
答案1866: 17
答案1867: 7
答案1868: 4
答案1869: 14
答案1870: 38
答案1871: 11
答案1872: 8
答案1873: 7
答案1874: 15
答案1875: 1
答案1876: 5
答案1877: 3/7
答案1878: 3
答案1879: 19
答案1880: 7
答案1881: 6/7
答案1882: 6
答案1883: 5
答案1884: 16/45
答案1885: 9
答案1886: 1
答案1887: 7
答案1888: 9
答案1889: 1/18
答案1890: 7
答案1891: 3/256
答案1892: 6
答案1893: 6
答案1894: 6
答案1895: 3/7
答案1896: 3/10
答案1897: 15
答案1898: 5
答案1899: 19
答案1900: 8/9
答案1901: 13
答案1902: 12
答案1903: 15
答案1904: 10
答案1905: 11
答案1906: 2/7
答案1907: 5/108
答案1908: 8
答案1909: 5
答案1910: 3
答案1911: 5
答案1912: 5
答案1913: 2
答案1914: 5
答案1915: 1/60
答案1916: 4
答案1917: 2
答案1918: 7
答案1919: 3/5
答案1920: 5
答案1921: 1/6
答案1922: 3
答案1923: 3/25
答案1924: 3/20
答案1925: 3/70
答案1926: 1/5
答案1927: 3/40
答案1928: 3/10
答案1929: 1/15
答案1930: 3/40
答案1931: 3/98
答案1932: 3/35
答案1933: 2
答案1934: 26
答案1935: 20
答案1936: 6
答案1937: 2
答案1938: 7/48
答案1939: 10
答案1940: 5/18
答案1941: 2
答案1942: 2
答案1943: 1/40
答案1944: 8
答案1945: 15
答案1946: 7/8
答案1947: 1/2
答案1948: 2/105
答案1949: 1/60
答案1950: 7/48
答案1951: 12
答案1952: 10
答案1953: 6
答案1954: 12
答案1955: 1/5
答案1956: 1/70
答案1957: 0
答案1958: 36/71
答案1959: 2/3
答案1960: 1/2646
答案1961: 2
答案1962: 10
答案1963: 5/8
答案1964: 4
答案1965: 1/270
答案1966: 5/12
答案1967: 1/240
答案1968: 11
答案1969: 3/16
答案1970: 16
答案1971: 5/32
答案1972: 1/8
答案1973: 5/36
答案1974: 7/960
答案1975: 1/40
答案1976: 8/15
答案1977: 5/27
答案1978: 3
答案1979: 5/7
答案1980: 1/441
答案1981: 1/96
答案1982: 10
答案1983: 4
答案1984: 3
答案1985: 16
答案1986: 13
答案1987: 6
答案1988: 39
答案1989: 14
答案1990: 1/72
答案1991: 40
答案1992: 1/4
答案1993: 4
答案1994: 5
答案1995: 3/4
答案1996: 4
答案1997: 4
答案1998: 10
答案1999: 7/48
答案2000: 7/32
答案2001: 9
答案2002: 7/12
答案2003: 3/4
答案2004: 15
答案2005: 5/12
答案2006: 7/8
答案2007: 11
答案2008: 8
答案2009: 9
答案2010: 7/72
答案2011: 5/32
答案2012: 1/35
答案2013: 6
答案2014: 7
答案2015: 18
答案2016: 1
答案2017: 7/24
答案2018: 1/63
答案2019: 7/20
答案2020: 4/189
答案2021: 7/16
答案2022: 7/8
答案2023: 2
答案2024: 9/70
答案2025: 2/63
答案2026: 3
答案2027: 5
答案2028: 11
答案2029: 7/36
答案2030: 5
答案2031: 7/32
答案2032: 1/4
答案2033: 6
答案2034: 18
答案2035: 13
答案2036: 15
答案2037: 2/45
答案2038: 10
答案2039: 3
答案2040: 2/41
答案2041: 2/45
答案2042: 6
答案2043: 5
答案2044: 5
答案2045: 8
答案2046: 7
答案2047: 17
答案2048: 2
答案2049: 2/5
答案2050: 2/135
答案2051: 4
答案2052: 1/5
答案2053: 1/30
答案2054: 2/15
答案2055: 1/10
答案2056: 10
答案2057: 2/25
答案2058: 2
答案2059: 1/15
答案2060: 3
答案2061: 6
答案2062: 2
答案2063: 2/35
答案2064: 8
答案2065: 1/20
答案2066: 7
答案2067: 11
答案2068: 13
答案2069: 14
答案2070: 8/9
答案2071: 15
答案2072: 11
答案2073: 4
答案2074: 1/72
答案2075: 8/9
答案2076: 9
答案2077: 1/168
答案2078: 12
答案2079: 11
答案2080: 13
答案2081: 7
答案2082: 17
答案2083: 3/8
答案2084: 5/12
答案2085: 10/27
答案2086: 2
答案2087: 7
答案2088: 4
答案2089: 2/5
答案2090: 1/6
答案2091: 5/18
答案2092: 4/15
答案2093: 3/8
答案2094: 5/54
答案2095: 5/42
答案2096: 10/21
答案2097: 10
答案2098: 5/48
答案2099: 15/28
答案2100: 10
答案2101: 6/7
答案2102: 11
答案2103: 1
答案2104: 2/3
答案2105: 5
答案2106: 7
答案2107: 12
答案2108: 12
答案2109: 5/32
答案2110: 1/84
答案2111: 1/56
答案2112: 1/63
答案2113: 6/7
答案2114: 3/4
答案2115: 1/126
答案2116: 5/18
答案2117: 10
答案2118: 5
答案2119: 6
答案2120: 3/28
答案2121: 2/27
答案2122: 1/32
答案2123: 1/28
答案2124: 9
答案2125: 12
答案2126: 13
答案2127: 15
答案2128: 15
答案2129: 14
答案2130: 8
答案2131: 9
答案2132: 11
答案2133: 12
答案2134: 7
答案2135: 1/8
答案2136: 1/9
答案2137: 12
答案2138: 1/4
答案2139: 11
答案2140: 1/5
答案2141: 3/8
答案2142: 8
答案2143: 16
答案2144: 7
答案2145: 9
答案2146: 10
答案2147: 9
答案2148: 1/3
答案2149: 8/45
答案2150: 4
答案2151: 1/42
答案2152: 6
答案2153: 5
答案2154: 19
答案2155: 1/189
答案2156: 1/54
答案2157: 10
答案2158: 6
答案2159: 1/108
答案2160: 7
答案2161: 1
答案2162: 5
答案2163: 16
答案2164: 7
答案2165: 14/27
答案2166: 9
答案2167: 1/54
答案2168: 14
答案2169: 5/324
答案2170: 1/72
答案2171: 8
答案2172: 2
答案2173: 1/15
答案2174: 11
答案2175: 6
答案2176: 6
答案2177: 1/25
答案2178: 8
答案2179: 10
答案2180: 1
答案2181: 3
答案2182: 3
答案2183: 2/125
答案2184: 57
答案2185: 13
答案2186: 20
答案2187: 14
答案2188: 8
答案2189: 7
答案2190: 8
答案2191: 6
答案2192: 11
答案2193: 1/14
答案2194: 3
答案2195: 4/21
答案2196: 12
答案2197: 2/9
答案2198: 9
答案2199: 10
答案2200: 1/6
答案2201: 4/9
答案2202: 2/3
答案2203: 4/15
答案2204: 1/3
答案2205: 19
答案2206: 18
答案2207: 5
答案2208: 9
答案2209: 4/5
答案2210: 1/3
答案2211: 27/50
答案2212: 2/9
答案2213: 12
答案2214: 1/3
答案2215: 1/5
答案2216: 1/6
答案2217: 1/7
答案2218: 5
答案2219: 8/63
答案2220: 2/45
答案2221: 16
答案2222: 35
答案2223: 16
答案2224: 9/28
答案2225: 17
答案2226: 14
答案2227: 5/9
答案2228: 5/8
答案2229: 7/9
答案2230: 4/9
答案2231: 6
答案2232: 17
答案2233: 1/2
答案2234: 5/7
答案2235: 5/6
答案2236: 9
答案2237: 3/4
答案2238: 6
答案2239: 1/63
答案2240: 6
答案2241: 7
答案2242: 8
答案2243: 3
答案2244: 9
答案2245: 10
答案2246: 1/14
答案2247: 2/45
答案2248: 5
答案2249: 1
答案2250: 8
答案2251: 4
答案2252: 5/8
答案2253: 4/15
答案2254: 5/14
答案2255: 1/36
答案2256: 16
答案2257: 1/9
答案2258: 1/10
答案2259: 2/7
答案2260: 1/6
答案2261: 20
答案2262: 5/64
答案2263: 5/6
答案2264: 12
答案2265: 13
答案2266: 11
答案2267: 6
答案2268: 8
答案2269: 11
答案2270: 2
答案2271: 2/21
答案2272: 1/14
答案2273: 15
答案2274: 7/10
答案2275: 7
答案2276: 8
答案2277: 3/10
答案2278: 5
答案2279: 8/63
答案2280: 17
答案2281: 1/7
答案2282: 13
答案2283: 20/21
答案2284: 1/4
答案2285: 8/9
答案2286: 14
答案2287: 7
答案2288: 8
答案2289: 3
答案2290: 17
答案2291: 17
答案2292: 2/7
答案2293: 16
答案2294: 6/35
答案2295: 19
答案2296: 2
答案2297: 9
答案2298: 1/25
答案2299: 13
答案2300: 53
答案2301: 10
答案2302: 1
答案2303: 1/8
答案2304: 16/63
答案2305: 3/4
答案2306: 5
答案2307: 14
答案2308: 1/6
答案2309: 2/15
答案2310: 20/21
答案2311: 4/25
答案2312: 2/5
答案2313: 1/3
答案2314: 8
答案2315: 5/216
答案2316: 47/168
答案2317: 4
答案2318: 5
答案2319: 10
答案2320: 9
答案2321: 4/15
答案2322: 2
答案2323: 5/72
答案2324: 3
答案2325: 10
答案2326: 1/28
答案2327: 1/24
答案2328: 7/16
答案2329: 8/35
答案2330: 4/21
答案2331: 2
答案2332: 5/504
答案2333: 6
答案2334: 1/4
答案2335: 3/4
答案2336: 3
答案2337: 4
答案2338: 1/10
答案2339: 3
答案2340: 52
答案2341: 1
答案2342: 1/3
答案2343: 73/126
答案2344: 22
答案2345: 4
答案2346: 3/14
答案2347: 6
答案2348: 7
答案2349: 6/49
答案2350: 4/135
答案2351: 8
答案2352: 4
答案2353: 1/105
答案2354: 4/9
答案2355: 5
答案2356: 19
答案2357: 17
答案2358: 9
答案2359: 9
答案2360: 14
答案2361: 11
答案2362: 1/4
答案2363: 3/10
答案2364: 16
答案2365: 11
答案2366: 6
答案2367: 2/45
答案2368: 13
答案2369: 15
答案2370: 1/1260
答案2371: 18
答案2372: 11
答案2373: 2/105
答案2374: 3/16
答案2375: 4
答案2376: 1/48
答案2377: 1/56
答案2378: 3/4
答案2379: 2/75
答案2380: 1/8
答案2381: 1/16
答案2382: 4/5
答案2383: 1/24
答案2384: 3/20
答案2385: 1/32
答案2386: 7/8
答案2387: 10
答案2388: 1/72
答案2389: 2/45
答案2390: 1/12
答案2391: 1/4
答案2392: 1/48
答案2393: 5/448
答案2394: 1/40
答案2395: 1/32
答案2396: 9
答案2397: 5
答案2398: 1/7
答案2399: 7
答案2400: 8
答案2401: 3
答案2402: 6
答案2403: 13
答案2404: 7/54
答案2405: 1
答案2406: 2
答案2407: 8
答案2408: 4
答案2409: 6
答案2410: 6
答案2411: 7
答案2412: 8
答案2413: 9
答案2414: 1/4
答案2415: 2/9
答案2416: 9/40
答案2417: 5
答案2418: 2
答案2419: 4/81
答案2420: 5/36
答案2421: 1/18
答案2422: 4/63
答案2423: 2/27
答案2424: 5/336
答案2425: 15
答案2426: 1/9
答案2427: 4/27
答案2428: 13
答案2429: 2/9
答案2430: 16
答案2431: 14
答案2432: 4/9
答案2433: 11
答案2434: 12
答案2435: 9
答案2436: 10
答案2437: 10
答案2438: 11
答案2439: 12
答案2440: 1/63
答案2441: 3/4
答案2442: 6/7
答案2443: 5/6
答案2444: 1/20
答案2445: 1/2
答案2446: 1/9
答案2447: 8/9
答案2448: 2
答案2449: 1/4
答案2450: 4/5
答案2451: 5/32
答案2452: 5
答案2453: 7
答案2454: 5/16
答案2455: 9
答案2456: 5
答案2457: 3/8
答案2458: 7/9
答案2459: 4
答案2460: 5/6
答案2461: 3/5
答案2462: 2
答案2463: 2/5
答案2464: 5/8
答案2465: 3/7
答案2466: 4/27
答案2467: 3
答案2468: 3/56
答案2469: 4/45
答案2470: 15
答案2471: 2/5
答案2472: 4/15
答案2473: 1/126
答案2474: 12
答案2475: 19
答案2476: 13
答案2477: 13
答案2478: 15
答案2479: 14
答案2480: 17
答案2481: 3/4
答案2482: 3
答案2483: 16
答案2484: 11
答案2485: 19
答案2486: 12
答案2487: 20
答案2488: 5/48
答案2489: 7
答案2490: 15/64
答案2491: 1/168
答案2492: 1/6
答案2493: 7
答案2494: 1
答案2495: 7/64
答案2496: 1/80
答案2497: 7/16
答案2498: 5/48
答案2499: 11
答案2500: 9/32
答案2501: 15
答案2502: 5
答案2503: 1/441
答案2504: 2/3
答案2505: 10
答案2506: 1/64
答案2507: 6
答案2508: 10
答案2509: 12
答案2510: 20
答案2511: 10
答案2512: 48
答案2513: 20
答案2514: 13
答案2515: 10
答案2516: 19
答案2517: 7/8
答案2518: 18
答案2519: 17
答案2520: 5
答案2521: 16
答案2522: 14
答案2523: 13
答案2524: 5/12
答案2525: 53/140
答案2526: 5/18
答案2527: 4/15
答案2528: 4/315
答案2529: 8/35
答案2530: 6
答案2531: 4
答案2532: 5
答案2533: 14
答案2534: 2/9
答案2535: 5
答案2536: 5/18
答案2537: 2/441
答案2538: 10
答案2539: 3/10
答案2540: 1/3
答案2541: 1/14
答案2542: 1/12
答案2543: 2/15
答案2544: 1/10
答案2545: 1/6
答案2546: 3/20
答案2547: 1/5
答案2548: 6/25
答案2549: 2/5
答案2550: 10
答案2551: 20
答案2552: 12
答案2553: 13
答案2554: 1/7
答案2555: 5/18
答案2556: 6
答案2557: 7
答案2558: 18
答案2559: 10
答案2560: 1/2
答案2561: 14
答案2562: 3/4
答案2563: 4
答案2564: 20
答案2565: 19
答案2566: 3
答案2567: 17
答案2568: 4/63
答案2569: 8/1323
答案2570: 3
答案2571: 15/64
答案2572: 1/42
答案2573: 1/7
答案2574: 9
答案2575: 1
答案2576: 35/96
答案2577: 5/6
答案2578: 8/9
答案2579: 20
答案2580: 2
答案2581: 1
答案2582: 6
答案2583: 5
答案2584: 5
答案2585: 6
答案2586: 12
答案2587: 12
答案2588: 9/14
答案2589: 11
答案2590: 4/5
答案2591: 8
答案2592: 9
答案2593: 10/63
答案2594: 2
答案2595: 6
答案2596: 3/4
答案2597: 12
答案2598: 1/2
答案2599: 3
答案2600: 1/3
答案2601: 59
答案2602: 15
答案2603: 9
答案2604: 9
答案2605: 6/7
答案2606: 5
答案2607: 1/4
答案2608: 4
答案2609: 9
答案2610: 7
答案2611: 13/16
答案2612: 1/80
答案2613: 2/25
答案2614: 9/16
答案2615: 5/42
答案2616: 3/14
答案2617: 5/189
答案2618: 3/98
答案2619: 12
答案2620: 2/5
答案2621: 2
答案2622: 1
答案2623: 5/288
答案2624: 7/40
答案2625: 16
答案2626: 1/10
答案2627: 10
答案2628: 5/18
答案2629: 1/63
答案2630: 7
答案2631: 2/5
答案2632: 5/42
答案2633: 5/18
答案2634: 1/3
答案2635: 3/14
答案2636: 1/2
答案2637: 8
答案2638: 1/5
答案2639: 3
答案2640: 1/4
答案2641: 19/21
答案2642: 12
答案2643: 8
答案2644: 7
答案2645: 14
答案2646: 1/4
答案2647: 5
答案2648: 1/20
答案2649: 3/68
答案2650: 16
答案2651: 1/6
答案2652: 1/6
答案2653: 1/9
答案2654: 10
答案2655: 1/8
答案2656: 20
答案2657: 2/3
答案2658: 3
答案2659: 5/24
答案2660: 11
答案2661: 4
答案2662: 8
答案2663: 8
答案2664: 19
答案2665: 10
答案2666: 3
答案2667: 20
答案2668: 3/4
答案2669: 11
答案2670: 5/7
答案2671: 5/54
答案2672: 10
答案2673: 8
答案2674: 1/8
答案2675: 8/21
答案2676: 15
答案2677: 16
答案2678: 2
答案2679: 11
答案2680: 2/25
答案2681: 13
答案2682: 3/50
答案2683: 9
答案2684: 6/125
答案2685: 15
答案2686: 1/24
答案2687: 1/7
答案2688: 13
答案2689: 5/72
答案2690: 1/5
答案2691: 14
答案2692: 3/10
答案2693: 9/10
答案2694: 10
答案2695: 1/8
答案2696: 11/20
答案2697: 9
答案2698: 5/18
答案2699: 9/16
答案2700: 1
答案2701: 4/27
答案2702: 3
答案2703: 2
答案2704: 1
答案2705: 17
答案2706: 16
答案2707: 15
答案2708: 17
答案2709: 14
答案2710: 13
答案2711: 2
答案2712: 12
答案2713: 10
答案2714: 9
答案2715: 20
答案2716: 5
答案2717: 8/27
答案2718: 4
答案2719: 7/8
答案2720: 1/80
答案2721: 3/32
答案2722: 8
答案2723: 4
答案2724: 1/10
答案2725: 1
答案2726: 1/15
答案2727: 1/14
答案2728: 17
答案2729: 4
答案2730: 7/32
答案2731: 6
答案2732: 16
答案2733: 11
答案2734: 20
答案2735: 3/4
答案2736: 1
答案2737: 20
答案2738: 1
答案2739: 1
答案2740: 7
答案2741: 9
答案2742: 6/7
答案2743: 2
答案2744: 5/54
答案2745: 17
答案2746: 13
答案2747: 3/64
答案2748: 20
答案2749: 3/448
答案2750: 2
答案2751: 2/3
答案2752: 2/9
答案2753: 6
答案2754: 12
答案2755: 1/210
答案2756: 5
答案2757: 5/63
答案2758: 1/2
答案2759: 4
答案2760: 15
答案2761: 1/16
答案2762: 18
答案2763: 20
答案2764: 27
答案2765: 9
答案2766: 5/72
答案2767: 22
答案2768: 2/27
答案2769: 1/160
答案2770: 10
答案2771: 1/40
答案2772: 2/3
答案2773: 18
答案2774: 13/21
答案2775: 2/15
答案2776: 1/6
答案2777: 25
答案2778: 1/9
答案2779: 18
答案2780: 10
答案2781: 2/3
答案2782: 15
答案2783: 2/9
答案2784: 5
答案2785: 1/3
答案2786: 3/7
答案2787: 5
答案2788: 2/15
答案2789: 4
答案2790: 1/36
答案2791: 1/192
答案2792: 1/6
答案2793: 3
答案2794: 2
答案2795: 5/7
答案2796: 7
答案2797: 7
答案2798: 5
答案2799: 10
答案2800: 12
答案2801: 9
答案2802: 8
答案2803: 4/35
答案2804: 11
答案2805: 12
答案2806: 13
答案2807: 2/5
答案2808: 8
答案2809: 7/225
答案2810: 1/2
答案2811: 1/7
答案2812: 12
答案2813: 48/71
答案2814: 15
答案2815: 1/6
答案2816: 1
答案2817: 18
答案2818: 3/8
答案2819: 5
答案2820: 4
答案2821: 1/21
答案2822: 2
答案2823: 13
答案2824: 1/14
答案2825: 17
答案2826: 3/49
答案2827: 11
答案2828: 10
答案2829: 12
答案2830: 6
答案2831: 3/7
答案2832: 2/9
答案2833: 3/28
答案2834: 3/35
答案2835: 3/14
答案2836: 2/21
答案2837: 2
答案2838: 1/7
答案2839: 11
答案2840: 8
答案2841: 7
答案2842: 19
答案2843: 6
答案2844: 7
答案2845: 9
答案2846: 8
答案2847: 2/9
答案2848: 8
答案2849: 15
答案2850: 7
答案2851: 2/3
答案2852: 6
答案2853: 17
答案2854: 5
答案2855: 4
答案2856: 4
答案2857: 18
答案2858: 5
答案2859: 9
答案2860: 13
答案2861: 13
答案2862: 10
答案2863: 8
答案2864: 5
答案2865: 7
答案2866: 7
答案2867: 16
答案2868: 1/14
答案2869: 1/35
答案2870: 5/9
答案2871: 11
答案2872: 8
答案2873: 7
答案2874: 3/20
答案2875: 10
答案2876: 1/5
答案2877: 1/3
答案2878: 12/35
答案2879: 3/4
答案2880: 2
答案2881: 1/9
答案2882: 7
答案2883: 1/8
答案2884: 8
答案2885: 5
答案2886: 7
答案2887: 2/3
答案2888: 6
答案2889: 4
答案2890: 2
答案2891: 10
答案2892: 13
答案2893: 7/24
答案2894: 12
答案2895: 6
答案2896: 8/15
答案2897: 5/8
答案2898: 12
答案2899: 14
答案2900: 15
答案2901: 1/441
答案2902: 10
答案2903: 1/7
答案2904: 9
答案2905: 11
答案2906: 1
答案2907: 6
答案2908: 2/9
答案2909: 1/6
答案2910: 2/3
答案2911: 1/3
答案2912: 1/10
答案2913: 1/12
答案2914: 7/72
答案2915: 13
答案2916: 7/64
答案2917: 2/15
答案2918: 1/8
答案2919: 1/9
答案2920: 6/7
答案2921: 4/7
答案2922: 7/48
答案2923: 5
答案2924: 3/4
答案2925: 7/40
答案2926: 2/3
答案2927: 15
答案2928: 2/27
答案2929: 7/32
答案2930: 7/24
答案2931: 7/8
答案2932: 6
答案2933: 22/63
答案2934: 6
答案2935: 1/24
答案2936: 16
答案2937: 5/81
答案2938: 1/60
答案2939: 14
答案2940: 17
答案2941: 19
答案2942: 4
答案2943: 3
答案2944: 7/8
答案2945: 5
答案2946: 5
答案2947: 52
答案2948: 1/30
答案2949: 6
答案2950: 1
答案2951: 20
答案2952: 10
答案2953: 15
答案2954: 6
答案2955: 1
答案2956: 15/16
答案2957: 1/24
答案2958: 1/9
答案2959: 3
答案2960: 1
答案2961: 7/18
答案2962: 11
答案2963: 12
答案2964: 0
答案2965: 6
答案2966: 7/20
答案2967: 3
答案2968: 3/4
答案2969: 3
答案2970: 6
答案2971: 16
答案2972: 4
答案2973: 4
答案2974: 9
答案2975: 10
答案2976: 7
答案2977: 8
答案2978: 4
答案2979: 1
答案2980: 10
答案2981: 1/108
答案2982: 5/8
答案2983: 8
答案2984: 4/9
答案2985: 1
答案2986: 1/60
答案2987: 1/5
答案2988: 18/23
答案2989: 1/4
答案2990: 11
答案2991: 1/4
答案2992: 8
答案2993: 2/7
答案2994: 4
答案2995: 12
答案2996: 5/8
答案2997: 6/25
答案2998: 5
答案2999: 5/8
答案3000: 15
答案3001: 5/7
答案3002: 12
答案3003: 9
答案3004: 10
答案3005: 7
答案3006: 8
答案3007: 11/672
答案3008: 9
答案3009: 9/49
答案3010: 4/63
答案3011: 3
答案3012: 2
答案3013: 6
答案3014: 4/27
答案3015: 35
答案3016: 18
答案3017: 1/270
答案3018: 8
答案3019: 5/98
答案3020: 1
答案3021: 16
答案3022: 6
答案3023: 15
答案3024: 1
答案3025: 7/80
答案3026: 19
答案3027: 18
答案3028: 14
答案3029: 20
答案3030: 8/27
答案3031: 1/24
答案3032: 7/32
答案3033: 1/70
答案3034: 9
答案3035: 3
答案3036: 12
答案3037: 3/280
答案3038: 2/7
答案3039: 8/9
答案3040: 47/72
答案3041: 5/9
答案3042: 2/9
答案3043: 8
答案3044: 2
答案3045: 7
答案3046: 9
答案3047: 4/315
答案3048: 3/35
答案3049: 8
答案3050: 6
答案3051: 1
答案3052: 17
答案3053: 2
答案3054: 3/35
答案3055: 1
答案3056: 1/8
答案3057: 14
答案3058: 16/85
答案3059: 5/192
答案3060: 4
答案3061: 5/216
答案3062: 1/270
答案3063: 5/864
答案3064: 3
答案3065: 1/20
答案3066: 9
答案3067: 7/135
答案3068: 9
答案3069: 1/2
答案3070: 14
答案3071: 2
答案3072: 36
答案3073: 1/35
答案3074: 19
答案3075: 7
答案3076: 19/21
答案3077: 4/5
答案3078: 1/15
答案3079: 5/56
答案3080: 15
答案3081: 0
答案3082: 1/42
答案3083: 9
答案3084: 6
答案3085: 1/48
答案3086: 9
答案3087: 19
答案3088: 3/5
答案3089: 3/4
答案3090: 1/3
答案3091: 3/8
答案3092: 5/18
答案3093: 1/2
答案3094: 7/81
答案3095: 2/7
答案3096: 13
答案3097: 2/35
答案3098: 1/18
答案3099: 2/3
答案3100: 6/7
答案3101: 5/63
答案3102: 10
答案3103: 12
答案3104: 17
答案3105: 8
答案3106: 13
答案3107: 12
答案3108: 3/8
答案3109: 16
答案3110: 6
答案3111: 14
答案3112: 14
答案3113: 17/45
答案3114: 1/120
答案3115: 21/230
答案3116: 1/10
答案3117: 13/42
答案3118: 1/162
答案3119: 18
答案3120: 13
答案3121: 2/27
答案3122: 1/216
答案3123: 1/243
答案3124: 2/3
答案3125: 1/6
答案3126: 4/15
答案3127: 2/9
答案3128: 8
答案3129: 1/9
答案3130: 2/15
答案3131: 10
答案3132: 1/12
答案3133: 2/21
答案3134: 9
答案3135: 4
答案3136: 4
答案3137: 3
答案3138: 3
答案3139: 6
答案3140: 1/24
答案3141: 1
答案3142: 1/3
答案3143: 3
答案3144: 6
答案3145: 4/5
答案3146: 9
答案3147: 10
答案3148: 11
答案3149: 12
答案3150: 3/5
答案3151: 7/15
答案3152: 1/3
答案3153: 4
答案3154: 11
答案3155: 1
答案3156: 3
答案3157: 2
答案3158: 3/4
答案3159: 7/96
答案3160: 3/5
答案3161: 8/9
答案3162: 7/144
答案3163: 1/6
答案3164: 1/9
答案3165: 1/3
答案3166: 3
答案3167: 3/112
答案3168: 6
答案3169: 3/8
答案3170: 1/3
答案3171: 2
答案3172: 1/2
答案3173: 1/24
答案3174: 3/7
答案3175: 1/27
答案3176: 7
答案3177: 1/18
答案3178: 4/5
答案3179: 5
答案3180: 10/21
答案3181: 3/4
答案3182: 1/2
答案3183: 2/3
答案3184: 2/9
答案3185: 1/75
答案3186: 2
答案3187: 1/4
答案3188: 5
答案3189: 1/2
答案3190: 1/8
答案3191: 9
答案3192: 1/6
答案3193: 1/12
答案3194: 1/10
答案3195: 1/16
答案3196: 1
答案3197: 1/30
答案3198: 17
答案3199: 5/7
答案3200: 10
答案3201: 5/14
答案3202: 13
答案3203: 14
答案3204: 15
答案3205: 16
答案3206: 19
答案3207: 7
答案3208: 8
答案3209: 10/49
答案3210: 19
答案3211: 5/16
答案3212: 1/3
答案3213: 2/5
答案3214: 1/4
答案3215: 1/180
答案3216: 10
答案3217: 10
答案3218: 7
答案3219: 1/63
答案3220: 1/35
答案3221: 3
答案3222: 11
答案3223: 5/7
答案3224: 5/6
答案3225: 2
答案3226: 1/2
答案3227: 3/8
答案3228: 1/4
答案3229: 2/9
答案3230: 7/8
答案3231: 3/4
答案3232: 5/8
答案3233: 5/72
答案3234: 12
答案3235: 11
答案3236: 5/32
答案3237: 5/63
答案3238: 5/54
答案3239: 1/3
答案3240: 5/9
答案3241: 5/27
答案3242: 11
答案3243: 5/8
答案3244: 1
答案3245: 17
答案3246: 4/5
答案3247: 18
答案3248: 17/48
答案3249: 8
答案3250: 15
答案3251: 3
答案3252: 7/40
